,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1355,6 Lor Telok Singapore (049019),"Chinese, Vegetarian Friendly, Local, Steamboat",Tong Xin Ru Yi Hotpot,1.2869783,103.8486978,24
1356,30 Beach Road JW Marriott Singapore South Beach Singapore (189763),Bar,Tonic,1.2944085,103.8560531,16
1357,350 Orchard Road Level 4Shaw House Isetan Scotts Singapore (238868),Japanese,Tonkichi (Isetan Scotts),1.305988,103.8320337,11
1358,391 Orchard Road#04-24Takashimaya Singapore (238872),Japanese,Tonkichi (Takashimaya),1.3025572,103.834568,11
1359,11 Tanjong Katong Road#02-22/23Kinex Mall Singapore (437157),"Vietnamese, Cafe",TONKIN Vietnamese Noodle and Coffee,1.3147221,103.8947554,42
1360,8-10 Geylang Lorong 3Singapore (388862),"Chinese, Seafood, Vegetarian Friendly, Local, Steamboat, Zi Char",Tonny Restaurant,1.311898,103.8743599,37
1361,32 Tras Street Singapore (078972),"Bar, Japanese, Fusion, Southeast Asian, BBQ",Torasho Ramen & Charcoal Bar,1.2786335,103.8443306,31
1362,19 East Coast Road#01-01Singapore (428746),"Bar, Japanese",ToriBiru,1.316054,103.945695,46
1363,32 Duxton Road Singapore (089496),Japanese,Torii Izakaya,1.2790701,103.8434348,31
1364,50 Tiong Bahru Road#01-01Link Hotel Singapore (168733),Japanese,TORIO Japanese Restaurant,1.2848584,103.8343662,0
1365,1380 Ang Mo Kio Avenue 1Bishan Park 2Singapore (569930),Japanese,ToriYard,1.3624542,103.8471773,10
1366,1 Fullerton Square The Fullerton Hotel Singapore Singapore (049178),"International, Local",Town,1.2863532,103.8530671,49
1367,10 Siloso Beach Walk Singapore (098995),"Italian, Vegetarian Friendly, Pizza",Trapizza,1.256237,103.812091,40
1368,35 North Canal Road#01-01Singapore (059291),"Bar, Japanese, Italian",Trattoria La Vita,1.2869162,103.8471577,24
1369,61 Cantonment Road Singapore (089757),"Italian, Seafood, Vegetarian Friendly",Trattoria Nonna Lina,1.2784071,103.8403246,31
1370,15 Yishun Industrial Street 1#01-20Win 5Singapore (768091),"Chinese, Fusion",TribeD³ Lounge,1.437344,103.8440208,5
1371,333 Orchard Road Level 5Mandarin Orchard Hotel Singapore Singapore (238867),"Buffet, Japanese, International, Seafood, Vegetarian Friendly",Triple Three,1.3022281,103.8360357,38
1372,49 Armenian Street Singapore (179937),"Local, Peranakan",True Blue Cuisine,1.294452,103.849364,16
1373,"26 Sentosa Gateway#02-142/143, Hotel Michael Lobby Level, Resorts World Sentosa Singapore (098138)","Chinese, Local",TungLok Heen,1.255179,103.8218107,14
1374,511 Upper Jurong Road The Arena Country Club Singapore (638366),"Buffet, Chinese, Seafood, Dim Sum",TungLok Seafood (Arena Country Club),1.3294914,103.6829236,28
1375,181 Orchard Road#11-05Orchard Central Singapore (238896),"Chinese, Seafood, Dim Sum",TungLok Seafood (Orchard Central),1.300716,103.839996,38
